source_id,kode_wilayah,wilayah,kecamatan,kelurahan,nama_tps,longitude,latitude,source,source_url,quality_note
248,71,KOTA ADM. JAKARTA PUSAT,MENTENG,PEGANGSAAN,DIPO MATRAMAN ,-6.202777778,106.8516667,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
249,71,KOTA ADM. JAKARTA PUSAT,MENTENG,CIKINI,TPS TIM ,-6.191944444,106.8419444,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
250,71,KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,TPS RW 01 MENTENG TENGGULUN ,-6.207222222,106.8436111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
251,71,KOTA ADM. JAKARTA PUSAT,MENTENG,PEGANGSAAN,TPS RW 01 Pegangsaan,-6.197222222,106.8422222,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
252,71,KOTA ADM. JAKARTA PUSAT,MENTENG,CIKINI,Pool Gerobak Cut Mutia ,-6.186666667,106.8233333,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
253,71,KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,Pool Gerobak Latuharhary ,-6.205,106.8380556,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
254,71,KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,TPS Anyer Menteng Rw 02,-6.203333333,106.8447222,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
255,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LPS Metro ,-6.160277778,106.8319444,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
256,71,KOTA ADM. JAKARTA PUSAT,SENEN,KENARI,Pool Gerobak Kenari 2 ,-6.193055556,106.8463889,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
257,71,KOTA ADM. JAKARTA PUSAT,SENEN,KWITANG,LPS Gunung Agung Kwitang ,-6.183055556,106.8363889,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
258,71,KOTA ADM. JAKARTA PUSAT,SENEN,PASEBAN,Pool Gerobak Salemba Tengah ,-6.193611111,106.8513889,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
259,71,KOTA ADM. JAKARTA PUSAT,SENEN,PASEBAN,LPS Pramuka Jati ,-6.195833333,106.8577778,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
260,71,KOTA ADM. JAKARTA PUSAT,SENEN,BUNGUR,DIPO TEMBOK BERLIN ,-6.171388889,106.8436111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
261,71,KOTA ADM. JAKARTA PUSAT,SENEN,PASEBAN,LPS RW 07 Kramat Sawah ,-6.191388889,106.8547222,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
262,71,KOTA ADM. JAKARTA PUSAT,SENEN,KRAMAT,LINTAS PROTOKOL ,-6.176944444,106.8438889,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
263,71,KOTA ADM. JAKARTA PUSAT,SENEN,KWITANG,LINTAS JALI-JALI ,-6.185555556,106.8388889,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
264,71,KOTA ADM. JAKARTA PUSAT,SENEN,KENARI,LINTAS KRAMAT 5 ,-6.187777778,106.8441667,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
265,71,KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,Pool Gerobak Blora ,-6.200833333,106.8233333,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
266,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,DIPO Gunung Sahari Utara ,-6.151388889,106.8386111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
267,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,KARTINI,LPS Kartini Tengah ,-6.154444444,106.8358333,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
268,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,KARTINI,LPS Kartini Ujung ,-6.149444444,106.8344444,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
269,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LPS Jembatan Merah ,-6.146111111,106.8316667,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
270,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LPS Mangga Dua Dalam ,-6.137222222,106.8269444,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
271,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,LPS Karang Anyar ,-6.155555556,106.8272222,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
272,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LPS Mangga Besar 13 ,-6.1475,106.8266667,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
273,71,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LPS Djuanda ,-6.164166667,106.8297222,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
686,71,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Dipo Pln Kebon Melati,-6.199722222,106.8136111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
743,71,KOTA ADM. JAKARTA PUSAT,GAMBIR,CIDENG,Dinas Teknis ,-6.179444444,106.8105556,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
744,71,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TPS Rusun Benhil 2,-6.200555556,106.8083333,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
745,71,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TPS Rusun Benhil 1,-6.201944444,106.8055556,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
746,71,KOTA ADM. JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Dipo Kebon Kelapa ,-6.164722222,106.8294444,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
747,71,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,GALUR,LPS Gembrong,-6.178055556,106.855,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
748,71,KOTA ADM. JAKARTA PUSAT,GAMBIR,DURI PULO,RW 12 Duri Pulo,-6.161626,106.801328,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
749,71,KOTA ADM. JAKARTA PUSAT,GAMBIR,DURI PULO,RW 07 Duri Pulo,-6.16343,106.809488,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
795,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LPS RW 04 Cempaka Putih Tengah 33,-6.179166667,106.8713889,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
796,71,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,LPS Taman Pramuka,-6.193888889,106.8608333,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
890,71,KOTA ADM. JAKARTA PUSAT,GAMBIR,DURI PULO,Dipo Ketapang,-6.1611311,106.810197,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
891,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Armabar Rw. 07,-6.1639981,106.838666,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
892,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,BMKG,-6.1562933,106.8413675,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
893,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Jl. Bangau,-6.1694846,106.8418725,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
894,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Pasar Gombongan,-6.1611766,106.8409544,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
895,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Golden Trully,-6.1613996,106.8380437,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
896,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Rw. 01 & 02 Kebon Kosong,-6.1695388,106.8459569,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
897,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Rw. 03 & 04 Kebon Kosong,-6.1619999,106.8509717,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
898,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Boutiqe Apartment,-6.1570175,106.8522457,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
899,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SERDANG,Pasar Serdang,-6.1565785,106.862519,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
900,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,LPS Suprapto ( Malam ),-6.173888889,106.8561111,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
901,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Pasar Cempaka Sari,-6.169846,106.8554343,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
902,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Pasar Nangka,-6.1682272,106.8495938,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
903,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Pasar Kemayoran,-6.1610343,106.8528977,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
904,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Pasar Gardu Asem,-6.1650345,106.8468533,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
905,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,LPS Rw. 04,-6.1617807,106.8677946,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
906,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,LPS Rw. 02,-6.1616372,106.868259,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
907,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Pasar Sumur Batu,-6.165,106.8621613,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
908,71,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Rw. 08 Sumur Batu,-6.1622417,106.8742224,SILIKA DLH /tps dynamic inline JS,https://silika.jakarta.go.id/tps,Official SILIKA TPS coordinate layer. No explicit capacity field exposed.
